"Public Price","Product/Barcode"
"10.76","000000831746"
"8.46","000116043304"
"8.24","0013964764635"
"2.13","0013964849554"
"2.13","0013964849561"
"2.13","0013964849578"
"2.13","0013964849585"
"2.13","0013964849592"
"2.13","0013964849790"
"2.13","0013964914009"
"5.04","0013964995237"
"5.5","010279105825"
"5.8500000000000005","010279105832"
"6.15","010279105849"
"4.1","010279904220"
"5.5","010279904329"
"4.1","010279906088"
"9.6","010279912188"
"1.99","0123456000645"
"4.6000000000000005","0123456000653"
"0.62","0123456000659"
"1.11","0123456700286"
"2.35","0123456700287"
"1.11","0123456700288"
"1.49","0123456700290"
"1.74","0123456700291"
"2.1","0123456700292"
"1.85","0123456700294"
"2.35","0123456700296"
"2.72","0123456700299"
"2.35","0123456700301"
"5.5600000000000005","0123456700332"
"5.5600000000000005","0123456700333"
"5.5600000000000005","0123456700334"
"7.23","0123456700351"
"7.23","0123456700355"
"23.7","0130201805101"
"51.57","0130201805102"
"7.17","013964995220"
"1.68","015561170031"
"4.71","015561170062"
"1.52","015561171038"
"5.2700000000000005","015561171069"
"1.8","015561171830"
"6.28","015561171861"
"1.01","015561172455"
"1.68","015561174220"
"2.92","015561174244"
"5.16","015561174282"
"2.92","015561179386"
"3.7","015561219983"
"7.28","017163003526"
"8.02","018065051042"
"5.3","018065051226"
"10.200000000000001","018065054524"
"10.200000000000001","018065054531"
"20.68","018065055545"
"10.86","018065055569"
"6.67","018065056191"
"8.14","018065057006"
"8.88","018065057273"
"14.05","018065057297"
"5.04","018065057808"
"16.22","018065057815"
"10.200000000000001","018065058553"
"36.6","018065059154"
"5.55","018065059178"
"9.86","018065060945"
"9.86","018065060969"
"5.44","018065969606"
"7.03","018065969620"
"8.14","018065969637"
"8.14","018065969651"
"8.14","018065969668"
"5.44","018065969736"
"8.14","018065969743"
"17.84","018065969873"
"65.17","018065969910"
"17.84","018065969927"
"58.63","018065970046"
"12.200000000000001","018065970169"
"13.4","018065981080"
"48.39","018065981431"
"48.39","018065981448"
"41.56","018065981516"
"14.950000000000001","018065981707"
"9.120000000000001","018065981721"
"44.09","018065981738"
"29.71","018065981806"
"29.71","018065981820"
"14.25","018065982254"
"7.46","018065983152"
"16.18","018065983169"
"16.18","018065983176"
"13.4","018065983237"
"10.97","018214803232"
"11.1","018214816256"
"8.02","018214830283"
"12.200000000000001","018214832492"
"5.83","018214834595"
"5.83","018214834762"
